ids,Heating,Cooling,Basement,Flooring1,Flooring2,Architecture,ConstructMat1,ConstructMat2,RoofMat,LotSize,HomeType,TotalLivArea,Bathrooms,Bedrooms,FullBaths,HalfBaths,Stories,ExteriorFeat,ExteriorMat1,ExteriorMat2,Address,StreetName,Region,Zipcode,YearBuilt,PriceSqft,SalePrice,ListingURL,DateSold
0,Forced air,Central,Partially finished,Carpet,Laminate,Colonial,No Data,No Data,Composition,20037.6,Single Family,2488,3,4,2,1,0,Patio,Metal,Shingle,"11926 Frost Dr, Bowie, MD 20720",Frost Dr,Bowie,MD 20720,1988,167,415000,https://www.zillow.com/homedetails/11926-Frost-Dr-Bowie-MD-20720/37499959_zpid/,19-Dec
1,Other,Central,Partially finished,Carpet,Hardwood,Other,Brick,Brick,Shake/Shingle,3049,Single Family,1568,4,3,4,0,3,Patio,Brick,Brick,"12333 Quarterback Ct, Bowie, MD 20720",Quarterback Ct,Bowie,MD 20720,1995,233,365000,https://www.zillow.com/homedetails/12333-Quarterback-Ct-Bowie-MD-20720/37504497_zpid/,19-Dec
2,Heat pump,Central,Partially finished,Carpet,Wood Floors,Colonial,Other,Other,Shake/Shingle,10454,Single Family,2243,3,4,2,1,3,Patio,Other,Other,"12733 Hillmeade Station Dr, Bowie, MD 20720",Hillmeade Station Dr,Bowie,MD 20720,1988,165,370000,https://www.zillow.com/homedetails/12733-Hillmeade-Station-Dr-Bowie-MD-20720/37493106_zpid/,19-Dec
3,Forced air,Central,Partially finished,Carpet,Hardwood,Colonial,No Data,No Data,Other,14374.8,Single Family,2872,5,5,5,0,3,None,Other,Other,"7900 Driscoll Dr, Bowie, MD 20720",Driscoll Dr,Bowie,MD 20720,1995,131,375077,https://www.zillow.com/homedetails/7900-Driscoll-Dr-Bowie-MD-20720/37499895_zpid/,19-Dec
4,Baseboard,No Data,Partially finished,Carpet,Linoleum / Vinyl,Raised Ranch/Rambler,Other,Other,Shake/Shingle,9583,Single Family,1510,2,3,1,1,2,Patio,Cement concrete,Metal,"8513 Zug Rd, Bowie, MD 20720",Zug Rd,Bowie,MD 20720,1981,215,325000,https://www.zillow.com/homedetails/8513-Zug-Rd-Bowie-MD-20720/37493742_zpid/,19-Dec
5,Forced air,Central,Partially finished,Carpet,Hardwood,Colonial,No Data,No Data,Asphalt,10018,Single Family,1864,4,4,4,0,2,Patio,Other,Other,"8605 Cory Dr, Bowie, MD 20720",Cory Dr,Bowie,MD 20720,1994,228,425000,https://www.zillow.com/homedetails/8605-Cory-Dr-Bowie-MD-20720/37500061_zpid/,19-Nov
6,Forced air,Central,Finished basement,Carpet,Wood Floors,Colonial,Other,Other,Composition,10846,Single Family,5486,5,5,4,1,2,Patio,Brick,Shingle,"11907 Backus Dr, Bowie, MD 20720",Backus Dr,Bowie,MD 20720,1996,87,480000,https://www.zillow.com/homedetails/11907-Backus-Dr-Bowie-MD-20720/37500088_zpid/,19-Nov
7,Forced air,Central,Partially finished,No Data,No Data,Other,Other,Other,Shake/Shingle,3750,Multi Family,1304,2,2,1,1,2,Water,Other,Other,"8722 Maple Ave, Bowie, MD 20720",Maple Ave,Bowie,MD 20720,1884,99,129000,https://www.zillow.com/homedetails/8722-Maple-Ave-Bowie-MD-20720/37496308_zpid/,19-Nov
8,Forced air,Central,None,No Data,No Data,Colonial,Vinyl Siding,Brick,Shake/Shingle,64904.4,Single Family,3276,3,4,3,0,2,None,Brick,Vinyl,"8061 Springfield Rd, Glenn Dale, MD 20769",Springfield Rd,Glenn Dale,MD 20769,1966,162,530000,https://www.zillow.com/homedetails/8061-Springfield-Rd-Glenn-Dale-MD-20769/37501337_zpid/,19-Oct
9,Forced air,Central,Partially finished,No Data,No Data,Traditional,Aluminum Siding,Brick,Shake/Shingle,2879,Multi Family,1708,4,3,3,1,3,Patio,Brick,Brick,"7912 Quill Point Dr, Bowie, MD 20720",Quill Point Dr,Bowie,MD 20720,1993,186,317200,https://www.zillow.com/homedetails/7912-Quill-Point-Dr-Bowie-MD-20720/37494461_zpid/,19-Oct
10,Forced air,Central,Partially finished,Hardwood,Hardwood,Colonial,No Data,No Data,Shake/Shingle,31363.2,Single Family,2692,3,6,3,0,3,Patio,Other,Other,"13033 Old Fletchertown Rd, Bowie, MD 20720",Old Fletchertown Rd,Bowie,MD 20720,2001,160,430000,https://www.zillow.com/homedetails/13033-Old-Fletchertown-Rd-Bowie-MD-20720/37501461_zpid/,19-Oct
11,Forced air,Central,Partially finished,Wood Floors,Wood Floors,Colonial,Other,Other,Other,9644,Single Family,5262,4,5,4,0,3,Patio,Other,Other,"12106 Quick Fox Ln, Bowie, MD 20720",Quick Fox Ln,Bowie,MD 20720,1992,95,500000,https://www.zillow.com/homedetails/12106-Quick-Fox-Ln-Bowie-MD-20720/37494676_zpid/,19-Oct
12,Baseboard,No Data,Finished basement,Wood Floors,Wood Floors,Craftsman,Other,Other,Metal,10001,Single Family,6055,1,4,1,0,3,None,Other,Other,"8519 Chestnut Ave, Bowie, MD 20715",Chestnut Ave,Bowie,MD 20715,1900,49,295000,https://www.zillow.com/homedetails/8519-Chestnut-Ave-Bowie-MD-20715/176027360_zpid/,19-Oct
13,Heat pump,Central,Partially finished,No Data,No Data,Other,No Data,No Data,Shake/Shingle,10018,Single Family,2822,3,4,2,1,2,Patio,Other,Other,"7203 Westwind Dr, Bowie, MD 20715",Westwind Dr,Bowie,MD 20715,1987,133,375000,https://www.zillow.com/homedetails/7203-Westwind-Dr-Bowie-MD-20715/37499292_zpid/,19-Oct
14,Forced air,Central,Partially finished,Carpet,Hardwood,Colonial,Other,Other,Shake/Shingle,11325.6,Single Family,5106,5,5,4,1,2,None,Other,Other,"8904 Elm Ave, Bowie, MD 20720",Elm Ave,Bowie,MD 20720,2007,105,535000,https://www.zillow.com/homedetails/8904-Elm-Ave-Bowie-MD-20720/67221200_zpid/,19-Oct
15,Forced air,Central,Partially finished,Carpet,Wood Floors,Colonial,Vinyl Siding,Brick,Shake/Shingle,10454,Single Family,3730,4,4,3,1,3,Patio,Brick,Vinyl,"13113 Falling Water Ct, Bowie, MD 20720",Falling Water Ct,Bowie,MD 20720,2005,126,470000,https://www.zillow.com/homedetails/13113-Falling-Water-Ct-Bowie-MD-20720/54468153_zpid/,19-Oct
16,Forced air,Central,Finished basement,Carpet,Hardwood,Colonial,No Data,No Data,Shake/Shingle,11325.6,Single Family,2294,3,3,3,0,3,Patio,Vinyl,Vinyl,"7200 Old Chapel Dr, Bowie, MD 20715",Old Chapel Dr,Bowie,MD 20715,1990,196,449000,https://www.zillow.com/homedetails/7200-Old-Chapel-Dr-Bowie-MD-20715/37496706_zpid/,19-Oct
17,Heat pump,Central,Partially finished,Carpet,Carpet,Colonial,Other,Other,Shake/Shingle,10140,Single Family,1910,3,4,2,1,3,Patio,Other,Other,"8112 Triple Crown Rd, Bowie, MD 20715",Triple Crown Rd,Bowie,MD 20715,1987,204,390000,https://www.zillow.com/homedetails/8112-Triple-Crown-Rd-Bowie-MD-20715/37498648_zpid/,19-Oct
18,Forced air,Central,Partially finished,Carpet,Wood Floors,Colonial,Aluminum Siding,Brick,Shake/Shingle,6246,Single Family,3272,4,3,3,1,3,Patio,Brick,Brick,"12119 Quadrille Ln, Bowie, MD 20720",Quadrille Ln,Bowie,MD 20720,1999,127,415000,https://www.zillow.com/homedetails/12119-Quadrille-Ln-Bowie-MD-20720/37504609_zpid/,19-Oct
19,Heat pump,Central,None,No Data,No Data,No Data,Combination,Combination,Shake/Shingle,4791,Single Family,1454,2,3,2,0,1,Patio,Other,Other,"13200 11th St, Bowie, MD 20715",11th St,Bowie,MD 20715,2005,268,390000,https://www.zillow.com/homedetails/13200-11th-St-Bowie-MD-20715/37498260_zpid/,19-Oct
20,Heat pump,Central,Partially finished,Carpet,Laminate,Other,No Data,No Data,Composition,10219,Single Family,1170,3,5,3,0,2,Patio,Cement concrete,Vinyl,"12704 Hillmeade Station Dr, Bowie, MD 20720",Hillmeade Station Dr,Bowie,MD 20720,1987,265,310000,https://www.zillow.com/homedetails/12704-Hillmeade-Station-Dr-Bowie-MD-20720/37493151_zpid/,19-Oct
21,Heat pump,Central,None,Carpet,Laminate,Ranch,Aluminum Siding,Vinyl Siding,Asphalt,12196.8,Single Family,2154,3,3,2,1,1,Patio,Vinyl,Vinyl,"14113 Wainwright Ct, Bowie, MD 20715",Wainwright Ct,Bowie,MD 20715,1987,172,371500,https://www.zillow.com/homedetails/14113-Wainwright-Ct-Bowie-MD-20715/37499327_zpid/,19-Sep
22,Other,Central,Finished basement,Carpet,Hardwood,Other,Vinyl Siding,Brick Veneer,Shake/Shingle,3230,Single Family,2834,4,4,3,1,3,Patio,Brick,Metal,"8242 Quill Point Dr, Bowie, MD 20720",Quill Point Dr,Bowie,MD 20720,1992,136,385000,https://www.zillow.com/homedetails/8242-Quill-Point-Dr-Bowie-MD-20720/37494390_zpid/,19-Sep
23,Forced air,Central,Finished basement,Wood Floors,Wood Floors,Colonial,Vinyl Siding,Vinyl Siding,Shake/Shingle,7714,Single Family,2194,4,4,2,2,3,Patio,Metal,Metal,"7625 Quicksilver Ct, Bowie, MD 20720",Quicksilver Ct,Bowie,MD 20720,1993,213,468000,https://www.zillow.com/homedetails/7625-Quicksilver-Ct-Bowie-MD-20720/37494542_zpid/,19-Sep
24,Heat pump,Central,None,Hardwood,Hardwood,Ranch,No Data,No Data,Shake/Shingle,5000,Single Family,768,1,2,1,0,1,Patio,Vinyl,Vinyl,"13225 10th St, Bowie, MD 20715",10th St,Bowie,MD 20715,1953,293,225000,https://www.zillow.com/homedetails/13225-10th-St-Bowie-MD-20715/37493516_zpid/,19-Sep
25,Heat pump,Central,Partially finished,No Data,No Data,Colonial,Other,Other,Shake/Shingle,7405,Single Family,1680,4,4,4,0,2,Patio,Other,Other,"13100 5th St, Bowie, MD 20720",5th St,Bowie,MD 20720,2005,170,285000,https://www.zillow.com/homedetails/13100-5th-St-Bowie-MD-20720/37502736_zpid/,19-Aug
26,Forced air,Central,Partially finished,No Data,No Data,Colonial,Brick Front,Brick Front,Shake/Shingle,13068,Single Family,3934,5,6,4,1,3,Patio,Brick,Brick,"13205 3rd St, Bowie, MD 20720",3rd St,Bowie,MD 20720,2006,133,523750,https://www.zillow.com/homedetails/13205-3rd-St-Bowie-MD-20720/67221179_zpid/,19-Aug
27,Forced air,Central,Partially finished,Carpet,Wood Floors,Colonial,Vinyl Siding,Brick,Shake/Shingle,13068,Single Family,4234,4,5,3,1,3,Patio,Brick,Vinyl,"7303 Gosling Pl, Bowie, MD 20720",Gosling Pl,Bowie,MD 20720,2011,128,544000,https://www.zillow.com/homedetails/7303-Gosling-Pl-Bowie-MD-20720/60918101_zpid/,19-Aug
28,Forced air,Central,None,No Data,No Data,Colonial,No Data,No Data,Shake/Shingle,14810.4,Single Family,1872,3,4,2,1,0,Patio,Brick,Brick,"4717 Ramsgate Ln, Bowie, MD 20715",Ramsgate Ln,Bowie,MD 20715,1967,144,270000,https://www.zillow.com/homedetails/4717-Ramsgate-Ln-Bowie-MD-20715/37496116_zpid/,19-Aug
29,Heat pump,Central,Partially finished,Wood Floors,Wood Floors,Colonial,Vinyl Siding,Vinyl Siding,Shake/Shingle,13939.2,Single Family,2578,4,4,3,1,3,Patio,Vinyl,Vinyl,"8302 Climbing Fern Ct, Bowie, MD 20715",Climbing Fern Ct,Bowie,MD 20715,1992,151,389500,https://www.zillow.com/homedetails/8302-Climbing-Fern-Ct-Bowie-MD-20715/37504055_zpid/,19-Aug
30,Forced air,Central,Partially finished,Carpet,Wood Floors,Colonial,Vinyl Siding,Brick,Shake/Shingle,7148,Single Family,2549,4,4,2,2,3,Patio,Brick,Vinyl,"12533 Quarterhorse Dr, Bowie, MD 20720",Quarterhorse Dr,Bowie,MD 20720,1993,185,472250,https://www.zillow.com/homedetails/12533-Quarterhorse-Dr-Bowie-MD-20720/37494377_zpid/,19-Aug
31,Heat pump,Central,Finished basement,Hardwood,Hardwood,Colonial,No Data,No Data,Shake/Shingle,10454,Single Family,2408,3,4,2,1,3,Patio,Metal,Metal,"13412 Steeplechase Dr, Bowie, MD 20715",Steeplechase Dr,Bowie,MD 20715,1989,171,411000,https://www.zillow.com/homedetails/13412-Steeplechase-Dr-Bowie-MD-20715/37498625_zpid/,19-Aug
32,Forced air,Central,Partially finished,Wood Floors,Wood Floors,Colonial,Other,Other,Shake/Shingle,8502,Single Family,1910,4,4,3,1,3,Patio,Other,Other,"7806 Quasar Ter, Bowie, MD 20720",Quasar Ter,Bowie,MD 20720,1993,238,455000,https://www.zillow.com/homedetails/7806-Quasar-Ter-Bowie-MD-20720/37494291_zpid/,19-Aug
33,Other,Central,Partially finished,Hardwood,Hardwood,Colonial,Other,Other,Shake/Shingle,13939.2,Single Family,2688,4,4,3,1,2,Patio,Other,Other,"8500 Shelley Ct, Bowie, MD 20720",Shelley Ct,Bowie,MD 20720,1992,176,472000,https://www.zillow.com/homedetails/8500-Shelley-Ct-Bowie-MD-20720/37500056_zpid/,19-Aug
34,Forced air,Central,Partially finished,Laminate,Linoleum / Vinyl,Other,No Data,No Data,Shake/Shingle,10890,Single Family,4520,4,4,4,0,2,Patio,Vinyl,Vinyl,"8409 Bates Dr, Bowie, MD 20720",Bates Dr,Bowie,MD 20720,1995,117,529000,https://www.zillow.com/homedetails/8409-Bates-Dr-Bowie-MD-20720/37500108_zpid/,19-Jul
35,Forced air,Central,Finished basement,Carpet,Carpet,Split level,Other,Other,Asphalt,10714,Single Family,1668,3,4,3,0,2,Patio,Vinyl,Vinyl,"12645 Hillmeade Station Dr, Bowie, MD 20720",Hillmeade Station Dr,Bowie,MD 20720,1985,213,355000,https://www.zillow.com/homedetails/12645-Hillmeade-Station-Dr-Bowie-MD-20720/37493139_zpid/,19-Jul
36,Forced air,Central,Finished basement,No Data,No Data,Colonial,No Data,No Data,Shake/Shingle,2331,Townhouse,3000,4,3,3,1,2,Patio,Vinyl,Vinyl,"12121 Quilt Patch Ln, Bowie, MD 20720",Quilt Patch Ln,Bowie,MD 20720,1994,113,340000,https://www.zillow.com/homedetails/12121-Quilt-Patch-Ln-Bowie-MD-20720/37494761_zpid/,19-Jul
37,Heat pump,Central,Finished basement,Hardwood,Hardwood,Split level,Brick,Vinyl Siding,Shake/Shingle,6250,Single Family,1024,3,4,2,1,1,None,Brick,Brick,"13014 5th St, Bowie, MD 20720",5th St,Bowie,MD 20720,1988,288,295000,https://www.zillow.com/homedetails/13014-5th-St-Bowie-MD-20720/37496160_zpid/,19-Jul
38,Heat pump,Central,Partially finished,Carpet,Hardwood,Colonial,Other,Other,Shake/Shingle,23086.8,Single Family,3523,4,4,3,1,2,Patio,Other,Other,"13614 Vincent Way, Bowie, MD 20715",Vincent Way,Bowie,MD 20715,1997,142,499900,https://www.zillow.com/homedetails/13614-Vincent-Way-Bowie-MD-20715/37498320_zpid/,19-Jul
39,Heat pump,Central,Partially finished,Hardwood,Hardwood,No Data,Brick Front,Vinyl Siding,Other,12196.8,Single Family,2040,2,4,2,0,1,Patio,Brick,Vinyl,"8404 Cowan Ave, Bowie, MD 20720",Cowan Ave,Bowie,MD 20720,1966,162,330000,https://www.zillow.com/homedetails/8404-Cowan-Ave-Bowie-MD-20720/37492751_zpid/,19-Jul
40,Forced air,Central,Partially finished,Hardwood,Hardwood,Other,Brick Front,Vinyl Siding,Shake/Shingle,2121,Condo,1592,3,3,2,1,3,Patio,Brick,Vinyl,"12321 Quintette Ln, Bowie, MD 20720",Quintette Ln,Bowie,MD 20720,1993,213,338500,https://www.zillow.com/homedetails/12321-Quintette-Ln-Bowie-MD-20720/37494818_zpid/,19-Jul
41,Heat pump,Central,Finished basement,Hardwood,Laminate,Ranch/Rambler,Other,Other,Shake/Shingle,20037.6,Single Family,2240,4,5,4,0,2,Patio,Other,Other,"13216 Pine Rd, Bowie, MD 20720",Pine Rd,Bowie,MD 20720,1986,185,414000,https://www.zillow.com/homedetails/13216-Pine-Rd-Bowie-MD-20720/37493444_zpid/,19-Jul
42,Heat pump,Central,None,No Data,No Data,No Data,Vinyl Siding,Vinyl Siding,Shake/Shingle,10454,Single Family,2082,3,3,3,0,2,Patio,Vinyl,Vinyl,"7305 Westwind Dr, Bowie, MD 20715",Westwind Dr,Bowie,MD 20715,1987,175,364000,https://www.zillow.com/homedetails/7305-Westwind-Dr-Bowie-MD-20715/37499288_zpid/,19-Jul
43,Heat pump,Central,Partially finished,No Data,No Data,No Data,Vinyl Siding,Vinyl Siding,Shake/Shingle,5000,Single Family,1112,1,3,1,0,1,Patio,Other,Other,"13103 11th St, Bowie, MD 20715",11th St,Bowie,MD 20715,1988,206,229025,https://www.zillow.com/homedetails/13103-11th-St-Bowie-MD-20715/37498373_zpid/,19-Jul
44,Forced air,Central,Partially finished,Hardwood,Hardwood,Colonial,Other,Other,Shake/Shingle,2456,Condo,1892,4,3,3,1,2,Patio,Other,Other,"12303 Quintette Ln, Bowie, MD 20720",Quintette Ln,Bowie,MD 20720,1994,184,349000,https://www.zillow.com/homedetails/12303-Quintette-Ln-Bowie-MD-20720/37494790_zpid/,19-Jul
45,Forced air,Central,Partially finished,Carpet,Concrete,Colonial,No Data,No Data,Shake/Shingle,14810.4,Single Family,4638,4,5,3,1,2,Water,Brick,Brick,"12712 Quarterhorse Dr, Bowie, MD 20720",Quarterhorse Dr,Bowie,MD 20720,1993,116,537000,https://www.zillow.com/homedetails/12712-Quarterhorse-Dr-Bowie-MD-20720/37494252_zpid/,19-Jun
46,Forced air,Central,Partially finished,No Data,No Data,Colonial,Vinyl Siding,Stone,Shake/Shingle,20037.6,Single Family,2160,4,4,3,1,2,Patio,Other,Other,"12612 Quoting Poet Ct, Bowie, MD 20720",Quoting Poet Ct,Bowie,MD 20720,2002,164,355000,https://www.zillow.com/homedetails/12612-Quoting-Poet-Ct-Bowie-MD-20720/37492729_zpid/,19-Jun
47,Forced air,Central,Partially finished,Carpet,Hardwood,Other,No Data,No Data,Shake/Shingle,10018,Single Family,2370,3,3,2,1,1,Patio,Vinyl,Vinyl,"7002 Old Chapel Dr, Bowie, MD 20715",Old Chapel Dr,Bowie,MD 20715,1968,143,340000,https://www.zillow.com/homedetails/7002-Old-Chapel-Dr-Bowie-MD-20715/37503441_zpid/,19-Jun
48,Forced air,Central,Partially finished,Hardwood,Hardwood,Modern,Brick,Brick,Shake/Shingle,132422.4,Single Family,4971,4,4,3,1,3,Patio,Brick,Brick,"8811 Normal School Rd, Bowie, MD 20715",Normal School Rd,Bowie,MD 20715,2007,140,695000,https://www.zillow.com/homedetails/8811-Normal-School-Rd-Bowie-MD-20715/62877972_zpid/,19-Jun
49,Forced air,Central,None,No Data,No Data,No Data,Brick,Vinyl Siding,No Data,200376,Single Family,2750,6,3,2,4,2,Water,Brick,Vinyl,"14009 Old Chapel Rd, Bowie, MD 20715",Old Chapel Rd,Bowie,MD 20715,1965,227,624000,https://www.zillow.com/homedetails/14009-Old-Chapel-Rd-Bowie-MD-20715/37501145_zpid/,19-Jun
50,Heat pump,Central,Partially finished,Hardwood,Hardwood,Colonial,Other,Other,Shake/Shingle,1846,Townhouse,1554,4,3,2,2,2,Patio,Other,Other,"12337 Quarterback Ct, Bowie, MD 20720",Quarterback Ct,Bowie,MD 20720,1995,222,345000,https://www.zillow.com/homedetails/12337-Quarterback-Ct-Bowie-MD-20720/37504495_zpid/,19-Jun
51,Forced air,Central,Partially finished,Hardwood,Hardwood,Colonial,Brick Front,Aluminum Siding,Asphalt,20037.6,Single Family,4872,4,5,3,1,2,Patio,Brick,Metal,"7203 Lena Way, Bowie, MD 20715",Lena Way,Bowie,MD 20715,1999,108,524000,https://www.zillow.com/homedetails/7203-Lena-Way-Bowie-MD-20715/37498325_zpid/,19-Jun
52,Forced air,Central,Partially finished,Hardwood,Hardwood,No Data,Shingle Siding,Brick Veneer,Other,9583,Single Family,2370,3,3,2,1,1,Patio,Brick,Brick,"7006 Old Chapel Dr, Bowie, MD 20715",Old Chapel Dr,Bowie,MD 20715,1968,131,310000,https://www.zillow.com/homedetails/7006-Old-Chapel-Dr-Bowie-MD-20715/37503429_zpid/,19-Jun
53,Heat pump,Central,Finished basement,Hardwood,Laminate,Other,Other,Other,Shake/Shingle,20037.6,Single Family,2188,3,5,3,0,2,Patio,Cement concrete,Vinyl,"13218 Pine Rd, Bowie, MD 20720",Pine Rd,Bowie,MD 20720,1986,162,355000,https://www.zillow.com/homedetails/13218-Pine-Rd-Bowie-MD-20720/37493445_zpid/,19-Jun
54,Forced air,Central,Partially finished,No Data,No Data,Colonial,Other,Other,Shake/Shingle,12632.4,Single Family,3342,4,6,4,0,3,None,Wood,Wood,"8912 Myrtle Ave, Bowie, MD 20720",Myrtle Ave,Bowie,MD 20720,2008,154,515000,https://www.zillow.com/homedetails/8912-Myrtle-Ave-Bowie-MD-20720/67221131_zpid/,19-May
55,Forced air,Central,Partially finished,No Data,No Data,Colonial,No Data,No Data,Other,10454,Single Family,3037,4,5,3,1,3,Patio,Brick,Brick,"13116 4th St, Bowie, MD 20720",4th St,Bowie,MD 20720,2009,148,448000,https://www.zillow.com/homedetails/13116-4th-St-Bowie-MD-20720/37494107_zpid/,19-May
56,Forced air,Central,Partially finished,Hardwood,Hardwood,Colonial,No Data,No Data,Shake/Shingle,2613,Single Family,2254,4,3,4,0,0,Patio,Other,Other,"12334 Quarterback Ct, Bowie, MD 20720",Quarterback Ct,Bowie,MD 20720,1995,132,298327,https://www.zillow.com/homedetails/12334-Quarterback-Ct-Bowie-MD-20720/37504524_zpid/,19-May
57,Forced air,Central,Partially finished,No Data,No Data,Colonial,Other,Other,Shake/Shingle,12632.4,Single Family,3806,4,4,3,1,0,Patio,Other,Other,"8911 Myrtle Ave, Bowie, MD 20720",Myrtle Ave,Bowie,MD 20720,2006,125,475000,https://www.zillow.com/homedetails/8911-Myrtle-Ave-Bowie-MD-20720/67221177_zpid/,19-May
58,Forced air,Central,Partially finished,Hardwood,Hardwood,No Data,Other,Other,Shake/Shingle,18295.2,Single Family,3686,3,4,2,1,2,Patio,Other,Other,"12114 Quadrille Ln, Bowie, MD 20720",Quadrille Ln,Bowie,MD 20720,1998,136,502000,https://www.zillow.com/homedetails/12114-Quadrille-Ln-Bowie-MD-20720/37494624_zpid/,19-May
59,Forced air,Central,Partially finished,No Data,No Data,Colonial,Vinyl Siding,Vinyl Siding,Shake/Shingle,12632.4,Single Family,2232,4,4,2,2,2,Patio,Other,Other,"11817 Frost Dr, Bowie, MD 20720",Frost Dr,Bowie,MD 20720,1987,166,369900,https://www.zillow.com/homedetails/11817-Frost-Dr-Bowie-MD-20720/37499940_zpid/,19-May
60,Heat pump,Central,Partially finished,Hardwood,Hardwood,Colonial,Other,Other,Other,10001,Single Family,2968,4,4,3,1,3,Patio,Vinyl,Vinyl,"8814 Elm Ave, Bowie, MD 20720",Elm Ave,Bowie,MD 20720,2012,148,439900,https://www.zillow.com/homedetails/8814-Elm-Ave-Bowie-MD-20720/67221171_zpid/,19-May
61,Forced air,Central,Partially finished,Hardwood,Hardwood,Colonial,Aluminum Siding,Other,Other,10027,Single Family,1976,3,4,2,1,3,Patio,Vinyl,Vinyl,"8306 Driscoll Dr, Bowie, MD 20720",Driscoll Dr,Bowie,MD 20720,1990,204,402400,https://www.zillow.com/homedetails/8306-Driscoll-Dr-Bowie-MD-20720/37499983_zpid/,19-May
62,Forced air,Central,Partially finished,Hardwood,Hardwood,Colonial,Other,Other,Other,12196.8,Single Family,5280,5,5,4,1,3,Patio,Brick,Brick,"8302 Bates Dr, Bowie, MD 20720",Bates Dr,Bowie,MD 20720,1994,110,580000,https://www.zillow.com/homedetails/8302-Bates-Dr-Bowie-MD-20720/37500086_zpid/,19-May
63,Forced air,Central,Finished basement,Carpet,Hardwood,Colonial,Brick,Brick Front,Composition,16117.2,Single Family,3906,4,4,3,1,3,Patio,Brick,Vinyl,"8614 Undermire Ct, Bowie, MD 20720",Undermire Ct,Bowie,MD 20720,1989,111,435000,https://www.zillow.com/homedetails/8614-Undermire-Ct-Bowie-MD-20720/37500238_zpid/,19-May
64,Forced air,Central,Partially finished,Hardwood,Hardwood,Colonial,Other,Other,Shake/Shingle,10798,Single Family,2232,4,4,3,1,3,Patio,Vinyl,Vinyl,"8609 Undermire Ct, Bowie, MD 20720",Undermire Ct,Bowie,MD 20720,1990,190,425000,https://www.zillow.com/homedetails/8609-Undermire-Ct-Bowie-MD-20720/37500241_zpid/,19-Apr
65,Heat pump,Central,Partially finished,No Data,No Data,Colonial,Aluminum Siding,Other,Shake/Shingle,10741,Single Family,2088,4,4,3,1,2,Patio,Other,Other,"7302 Westwind Dr, Bowie, MD 20715",Westwind Dr,Bowie,MD 20715,1987,201,420000,https://www.zillow.com/homedetails/7302-Westwind-Dr-Bowie-MD-20715/37499270_zpid/,19-Apr
66,Forced air,Central,Partially finished,No Data,No Data,Colonial,Other,Other,Asphalt,11325.6,Single Family,2846,4,4,3,1,2,Patio,Other,Other,"9007 Wipkey Ct, Bowie, MD 20720",Wipkey Ct,Bowie,MD 20720,2004,148,422092,https://www.zillow.com/homedetails/9007-Wipkey-Ct-Bowie-MD-20720/60918058_zpid/,19-Apr
67,Heat pump,Central,Partially finished,Carpet,Hardwood,No Data,Brick Front,Vinyl Siding,Shake/Shingle,10018,Single Family,2240,3,4,3,0,1,Patio,Brick,Vinyl,"12906 7th St, Bowie, MD 20720",7th St,Bowie,MD 20720,1989,156,349900,https://www.zillow.com/homedetails/12906-7th-St-Bowie-MD-20720/37496687_zpid/,19-Apr
68,Forced air,Central,None,No Data,No Data,Ranch/Rambler,Brick,Brick,Shake/Shingle,17424,Single Family,2280,2,4,2,0,1,Patio,Brick,Brick,"13215 10th St, Bowie, MD 20715",10th St,Bowie,MD 20715,1963,110,250000,https://www.zillow.com/homedetails/13215-10th-St-Bowie-MD-20715/37498951_zpid/,19-Apr
69,Heat pump,Central,Partially finished,No Data,No Data,Colonial,Other,Other,Shake/Shingle,20037.6,Single Family,3652,4,5,2,2,2,Patio,Other,Other,"11909 Proctor Ct, Bowie, MD 20720",Proctor Ct,Bowie,MD 20720,1987,130,476000,https://www.zillow.com/homedetails/11909-Proctor-Ct-Bowie-MD-20720/37499870_zpid/,19-Apr
70,Other,No Data,Partially finished,No Data,No Data,No Data,No Data,No Data,Shake/Shingle,16988.4,Single Family,3660,4,5,4,0,2,Patio,Other,Other,"8331 Quill Point Dr, Bowie, MD 20720",Quill Point Dr,Bowie,MD 20720,1994,130,475000,https://www.zillow.com/homedetails/8331-Quill-Point-Dr-Bowie-MD-20720/37493247_zpid/,19-Apr
71,Forced air,Central,Partially finished,Other,Other,Colonial,Other,Other,Other,20037.6,Single Family,3704,4,4,3,1,3,Patio,Brick,Brick,"12608 Quoting Poet Ct, Bowie, MD 20720",Quoting Poet Ct,Bowie,MD 20720,1995,136,505000,https://www.zillow.com/homedetails/12608-Quoting-Poet-Ct-Bowie-MD-20720/37492727_zpid/,19-Apr
72,Forced air,Central,Partially finished,Hardwood,Hardwood,Colonial,Brick Front,Brick Front,Other,13939.2,Single Family,4709,4,4,3,1,3,Patio,Brick,Brick,"9004 Wipkey Ct, Bowie, MD 20720",Wipkey Ct,Bowie,MD 20720,2003,96,449990,https://www.zillow.com/homedetails/9004-Wipkey-Ct-Bowie-MD-20720/60918054_zpid/,19-Apr
73,Forced air,Central,Partially finished,No Data,No Data,Colonial,Other,Other,Shake/Shingle,10768,Single Family,2804,3,4,2,1,2,Patio,Other,Other,"9005 Wipkey Ct, Bowie, MD 20720",Wipkey Ct,Bowie,MD 20720,2004,140,393225,https://www.zillow.com/homedetails/9005-Wipkey-Ct-Bowie-MD-20720/60918057_zpid/,19-Apr
