ids,Heating,Cooling,Basement,Flooring1,Flooring2,Architecture,ConstructMat1,ConstructMat2,RoofMat,LotSize,HomeType,TotalLivArea,Bathrooms,Bedrooms,FullBaths,HalfBaths,Stories,ExteriorFeat,ExteriorMat1,ExteriorMat2,Address,StreetName,Region,Zipcode,YearBuilt,PriceSqft,SalePrice,ListingURL,DateSold
2270,Forced air,Central,Partially finished,No Data,No Data,Colonial,Composition,Composition,Shake/Shingle,22651.2,Single Family,2724,3,3,2,1,2,Patio,Other,Other,"10201 Cleary Ln, Bowie, MD 20721",Cleary Ln,Bowie,MD 20721,1975,127,346000,https://www.zillow.com/homedetails/10201-Cleary-Ln-Bowie-MD-20721/37479278_zpid/,18-Dec
2271,Forced air,Central,Finished basement,Carpet,Hardwood,Colonial,Brick,Brick Front,Other,5010,Townhouse,2100,4,3,2,2,3,Patio,Brick,Brick,"5412 Epponians Choice Dr UNIT 14, Bowie, MD 20720",Epponians Choice Dr,Bowie,MD 20720,2005,155,324999,https://www.zillow.com/homedetails/5412-Epponians-Choice-Dr-UNIT-14-Bowie-MD-20720/64426516_zpid/,18-Dec
2272,Heat pump,Central,Finished basement,Hardwood,Hardwood,Contemporary,No Data,No Data,Shake/Shingle,11325.6,Single Family,2448,3,4,3,1,2,Patio,Other,Other,"13006 Marthas Choice Cir, Bowie, MD 20720",Marthas Choice Cir,Bowie,MD 20720,1988,184,449900,https://www.zillow.com/homedetails/13006-Marthas-Choice-Cir-Bowie-MD-20720/37502140_zpid/,18-Dec
2273,Other,Central,Partially finished,No Data,No Data,Colonial,Brick,Brick,Shake/Shingle,21780,Single Family,2900,3,4,2,1,3,Patio,Other,Other,"4519 Woodgate Way, Bowie, MD 20720",Woodgate Way,Bowie,MD 20720,1985,119,345000,https://www.zillow.com/homedetails/4519-Woodgate-Way-Bowie-MD-20720/37475553_zpid/,18-Dec
2274,No Data,No Data,None,Carpet,Hardwood,No Data,No Data,No Data,No Data,2529,Townhouse,1821,4,3,2,2,0,Patio,No Data,No Data,"4773 River Valley Way UNIT 52, Bowie, MD 20720",River Valley Way,Bowie,MD 20720,1988,129,235000,https://www.zillow.com/homedetails/4773-River-Valley-Way-UNIT-52-Bowie-MD-20720/37473015_zpid/,18-Dec
2275,Forced air,Central,Finished basement,No Data,No Data,Colonial,Vinyl Siding,Vinyl Siding,Composition,27007.2,Single Family,2368,4,4,2,2,2,Patio,Wood,Wood,"4008 Romsey Dr, Bowie, MD 20721",Romsey Dr,Bowie,MD 20721,1987,150,355000,https://www.zillow.com/homedetails/4008-Romsey-Dr-Bowie-MD-20721/37475249_zpid/,18-Dec
2276,Forced air,Central,Partially finished,Other,Other,Colonial,Brick,Brick,Other,1899,Condo,1400,4,3,2,2,3,Patio,Brick,Stone,"10709 Vista Gardens Dr, Bowie, MD 20720",Vista Gardens Dr,Bowie,MD 20720,2001,229,320000,https://www.zillow.com/homedetails/10709-Vista-Gardens-Dr-Bowie-MD-20720/37491428_zpid/,18-Dec
2277,Forced air,Central,Partially finished,No Data,No Data,Colonial,Brick,Combination,Shake/Shingle,2404,Condo,1802,4,3,2,2,2,None,Other,Other,"12121 Sutton Ln, Bowie, MD 20720",Sutton Ln,Bowie,MD 20720,1999,166,299950,https://www.zillow.com/homedetails/12121-Sutton-Ln-Bowie-MD-20720/37419916_zpid/,18-Dec
2278,Heat pump,No Data,Partially finished,No Data,No Data,Colonial,No Data,No Data,Shake/Shingle,9504,Single Family,1826,3,3,2,1,2,Patio,Brick,Brick,"11013 Fruitwood Dr, Bowie, MD 20720",Fruitwood Dr,Bowie,MD 20720,1979,173,315000,https://www.zillow.com/homedetails/11013-Fruitwood-Dr-Bowie-MD-20720/37477052_zpid/,18-Dec
2279,Forced air,Central,Finished basement,Hardwood,Hardwood,Colonial,No Data,No Data,No Data,7797,Townhouse,4300,4,4,3,1,0,Water,Brick,Brick,"12406 Gladys Retreat Cir UNIT 11, Bowie, MD 20720",Gladys Retreat Cir,Bowie,MD 20720,2005,103,445000,https://www.zillow.com/homedetails/12406-Gladys-Retreat-Cir-UNIT-11-Bowie-MD-20720/67216660_zpid/,18-Dec
